tax_id	species_name
28112	Tannerella forsythia
158	Treponema denticola
160	Treponema pallidum
69710	Treponema vincentii
2039	Tropheryma whipplei
1661	Trueperella pyogenes
134821	Ureaplasma parvum
2130	Ureaplasma urealyticum
663	Vibrio alginolyticus
666	Vibrio cholerae
670	Vibrio parahaemolyticus
672	Vibrio vulnificus
630	Yersinia enterocolitica
632	Yersinia pestis
633	Yersinia pseudotuberculosis
730	[Haemophilus] ducreyi
